name,draft_year,draft_pick,y1_pts,y1_reb,y1_ast,y1_fg_pct,y1_fg3_pct,y1_ft_pct,y1_min,y1_tov,y2_pts,y2_reb,y2_ast,y2_fg_pct,y2_fg3_pct,y2_ft_pct,y2_min,y2_tov,y5_pts,y5_reb,y5_ast,y5_fg_pct,y5_fg3_pct,y5_ft_pct,y5_min,y5_tov
Daniel Oturu,2020,33,1.8,1.6,0.3,0.423,0.2,0.75,5.4,0.3,3.0,1.7,0.0,0.5,0.0,0.6,9.0,0.0,,,,,,,,
Dante Exum,2014,5,4.8,1.6,2.4,0.349,0.314,0.625,22.2,1.4,,,,,,,,,6.9,1.6,2.6,0.419,0.29,0.791,15.8,1.2
Darius Bazley,2019,23,5.6,4.0,0.7,0.394,0.348,0.694,18.5,0.7,13.7,7.2,1.8,0.396,0.29,0.702,31.2,2.2,0.0,0.3,0.7,0.0,0.0,0.0,3.3,0.3
Darius Garland,2019,5,12.3,1.9,3.9,0.401,0.355,0.875,30.9,2.6,17.4,2.4,6.1,0.451,0.395,0.848,33.1,3.0,18.0,2.7,6.5,0.446,0.371,0.834,33.3,3.1
Darrun Hilliard,2015,38,4.0,1.2,0.7,0.397,0.38,0.725,10.1,0.5,3.3,0.8,0.8,0.373,0.261,0.75,9.8,0.7,,,,,,,,
David Roddy,2022,23,6.7,2.8,0.8,0.429,0.307,0.631,18.0,0.8,8.4,4.2,1.6,0.402,0.301,0.687,23.2,1.1,,,,,,,,
Davion Mitchell,2021,9,11.5,2.2,4.2,0.418,0.316,0.659,27.7,1.5,5.6,1.3,2.3,0.454,0.32,0.806,18.1,0.8,9.0,2.5,7.0,0.468,0.401,0.66,28.9,1.6
Davon Reed,2017,32,3.0,1.9,0.6,0.289,0.289,0.667,11.5,0.5,1.2,0.6,0.3,0.417,0.5,0.0,4.7,0.1,4.4,2.3,1.1,0.503,0.43,0.667,13.9,0.3
Day'Ron Sharpe,2021,29,6.2,5.0,0.5,0.577,0.286,0.585,12.2,0.9,4.7,4.2,0.8,0.544,0.545,0.636,11.5,0.9,8.5,6.7,2.3,0.611,0.219,0.679,18.5,1.6
De'Aaron Fox,2017,5,11.6,2.8,4.4,0.412,0.307,0.723,27.8,2.4,17.3,3.8,7.3,0.458,0.371,0.727,31.4,2.8,23.2,3.9,5.6,0.473,0.297,0.75,35.3,2.8
De'Andre Hunter,2019,4,12.3,4.5,1.8,0.41,0.355,0.764,32.0,1.6,15.0,4.8,1.9,0.484,0.326,0.859,29.5,1.3,15.6,3.9,1.5,0.459,0.385,0.847,29.5,1.5
De'Anthony Melton,2018,46,5.0,2.7,3.2,0.391,0.305,0.75,19.7,1.5,7.6,3.7,2.9,0.401,0.286,0.769,19.5,1.4,10.1,4.1,2.6,0.425,0.39,0.793,27.9,1.3
DeAndre' Bembry,2016,21,2.7,1.6,0.7,0.48,0.056,0.375,9.8,0.4,5.2,2.8,1.9,0.414,0.367,0.576,17.5,1.8,5.7,2.9,2.1,0.513,0.264,0.682,19.1,1.4
Deandre Ayton,2018,1,16.3,10.3,1.8,0.585,0.0,0.746,30.7,1.8,18.2,11.5,1.9,0.546,0.231,0.753,32.5,2.1,18.0,10.0,1.7,0.589,0.292,0.76,30.4,1.8
Dejounte Murray,2016,29,3.4,1.1,1.3,0.431,0.391,0.7,8.5,1.0,8.1,5.7,2.9,0.443,0.265,0.709,21.5,1.7,15.7,7.1,5.4,0.453,0.317,0.791,31.9,1.7
Delon Wright,2015,20,3.8,1.4,1.1,0.45,0.385,0.743,8.5,0.6,5.6,1.8,2.1,0.422,0.333,0.764,16.5,0.9,6.9,3.8,3.3,0.462,0.37,0.77,21.5,1.0
Demetrius Jackson,2016,45,2.0,0.8,0.6,0.75,1.0,0.5,3.4,0.0,0.7,0.9,0.4,0.286,0.0,0.0,5.3,0.8,,,,,,,,
Deni Avdija,2020,9,6.3,4.9,1.2,0.417,0.315,0.644,23.3,0.6,8.4,5.2,2.0,0.432,0.317,0.757,24.2,1.1,16.9,7.3,3.9,0.476,0.365,0.78,30.0,2.7
Dennis Schröder,2013,17,3.7,1.2,1.9,0.383,0.238,0.674,13.1,1.2,10.0,2.1,4.1,0.427,0.351,0.827,19.7,1.9,19.4,3.1,6.2,0.436,0.29,0.849,31.0,2.7
Dennis Smith Jr.,2017,9,15.2,3.8,5.2,0.395,0.313,0.694,29.7,2.8,12.9,3.0,4.3,0.44,0.344,0.695,28.4,3.1,5.6,2.4,3.6,0.418,0.222,0.656,17.3,1.4
